party id,num parties,db l1,db l2,wall time,comp time,upload (byte),download (byte)
1, 2, 128, 128, 253.446136ms, 3.55ms, 216, 210
0, 2, 128, 128, 245.557027ms, 4.539ms, 210, 216
1, 2, 128, 128, 243.036713ms, 1.776ms, 210, 210
0, 2, 128, 128, 242.484105ms, 1.4ms, 210, 210
1, 2, 128, 128, 242.134069ms, 1.505ms, 210, 210
0, 2, 128, 128, 242.139975ms, 1.244ms, 210, 210
1, 2, 128, 128, 242.352885ms, 1.618ms, 210, 210
0, 2, 128, 128, 242.581481ms, 1.41ms, 210, 210
1, 2, 128, 128, 243.370522ms, 1.78ms, 210, 210
0, 2, 128, 128, 242.735782ms, 1.743ms, 210, 210
1, 2, 128, 64, 252.812006ms, 3.627ms, 180, 174
0, 2, 128, 64, 245.121269ms, 4.143ms, 174, 180
1, 2, 128, 64, 242.446887ms, 955µs, 174, 174
0, 2, 128, 64, 242.591739ms, 1.008ms, 174, 174
1, 2, 128, 64, 242.602685ms, 946µs, 174, 174
0, 2, 128, 64, 242.933728ms, 932µs, 174, 174
1, 2, 128, 64, 243.709185ms, 1.048ms, 174, 174
0, 2, 128, 64, 243.516434ms, 949µs, 174, 174
1, 2, 128, 64, 243.163461ms, 992µs, 174, 174
0, 2, 128, 64, 243.102415ms, 1.027ms, 174, 174
1, 2, 256, 256, 252.572297ms, 3.092ms, 321, 315
0, 2, 256, 256, 245.024374ms, 4.246ms, 315, 321
1, 2, 256, 256, 242.094482ms, 1.026ms, 315, 315
0, 2, 256, 256, 243.170095ms, 1.134ms, 315, 315
1, 2, 256, 256, 242.523047ms, 831µs, 315, 315
0, 2, 256, 256, 242.262341ms, 985µs, 315, 315
1, 2, 256, 256, 242.842618ms, 966µs, 315, 315
0, 2, 256, 256, 243.146344ms, 808µs, 315, 315
1, 2, 256, 256, 242.78157ms, 991µs, 315, 315
0, 2, 256, 256, 242.569835ms, 876µs, 315, 315
1, 2, 256, 128, 252.926847ms, 3.475ms, 252, 246
0, 2, 256, 128, 245.301742ms, 3.429ms, 246, 252
1, 2, 256, 128, 242.620638ms, 887µs, 246, 246
0, 2, 256, 128, 242.933043ms, 979µs, 246, 246
1, 2, 256, 128, 243.223642ms, 877µs, 246, 246
0, 2, 256, 128, 243.162138ms, 982µs, 246, 246
1, 2, 256, 128, 243.56494ms, 936µs, 246, 246
0, 2, 256, 128, 243.12035ms, 941µs, 246, 246
1, 2, 256, 128, 243.451965ms, 954µs, 246, 246
0, 2, 256, 128, 243.841597ms, 943µs, 246, 246
0, 2, 512, 512, 245.678208ms, 3.38ms, 529, 535
1, 2, 512, 512, 334.945893ms, 3.413ms, 535, 529
1, 2, 512, 512, 243.115311ms, 1.044ms, 529, 529
0, 2, 512, 512, 324.216057ms, 1.153ms, 529, 529
0, 2, 512, 512, 243.700628ms, 1.042ms, 529, 529
1, 2, 512, 512, 324.27785ms, 1.238ms, 529, 529
1, 2, 512, 512, 242.912929ms, 972µs, 529, 529
0, 2, 512, 512, 323.842713ms, 1.224ms, 529, 529
0, 2, 512, 512, 242.32765ms, 928µs, 529, 529
1, 2, 512, 512, 323.622239ms, 1.076ms, 529, 529
0, 2, 512, 256, 246.012668ms, 3.323ms, 395, 401
1, 2, 512, 256, 335.116881ms, 3.167ms, 401, 395
1, 2, 512, 256, 243.261056ms, 1.072ms, 395, 395
0, 2, 512, 256, 324.913867ms, 1.073ms, 395, 395
0, 2, 512, 256, 242.460565ms, 868µs, 395, 395
1, 2, 512, 256, 323.525671ms, 1.027ms, 395, 395
1, 2, 512, 256, 243.287544ms, 1.096ms, 395, 395
0, 2, 512, 256, 324.177552ms, 1.185ms, 395, 395
0, 2, 512, 256, 243.520885ms, 963µs, 395, 395
1, 2, 512, 256, 324.80287ms, 1.205ms, 395, 395
0, 2, 1024, 1024, 245.097484ms, 3.498ms, 925, 931
1, 2, 1024, 1024, 334.432653ms, 3.758ms, 931, 925
1, 2, 1024, 1024, 244.017512ms, 1.199ms, 925, 925
0, 2, 1024, 1024, 324.610455ms, 1.07ms, 925, 925
0, 2, 1024, 1024, 243.90954ms, 1.012ms, 925, 925
1, 2, 1024, 1024, 324.683797ms, 1.182ms, 925, 925
1, 2, 1024, 1024, 244.349726ms, 1.091ms, 925, 925
0, 2, 1024, 1024, 325.297556ms, 1.331ms, 925, 925
0, 2, 1024, 1024, 242.985077ms, 1.038ms, 925, 925
1, 2, 1024, 1024, 323.906082ms, 1.144ms, 925, 925
0, 2, 1024, 512, 246.669184ms, 3.155ms, 663, 669
1, 2, 1024, 512, 334.781623ms, 4.506ms, 669, 663
1, 2, 1024, 512, 243.722053ms, 1.155ms, 663, 663
0, 2, 1024, 512, 324.603612ms, 1.15ms, 663, 663
0, 2, 1024, 512, 242.49055ms, 888µs, 663, 663
1, 2, 1024, 512, 323.211265ms, 1.303ms, 663, 663
1, 2, 1024, 512, 243.855838ms, 1.045ms, 663, 663
0, 2, 1024, 512, 324.939413ms, 1.146ms, 663, 663
0, 2, 1024, 512, 242.897648ms, 1.016ms, 663, 663
1, 2, 1024, 512, 324.400443ms, 1.22ms, 663, 663
0, 2, 2048, 2048, 247.003845ms, 4.899ms, 1713, 1719
1, 2, 2048, 2048, 336.469691ms, 3.47ms, 1719, 1713
1, 2, 2048, 2048, 243.671503ms, 1.034ms, 1713, 1713
0, 2, 2048, 2048, 324.212686ms, 1.029ms, 1713, 1713
0, 2, 2048, 2048, 242.615272ms, 1.154ms, 1713, 1713
1, 2, 2048, 2048, 323.434805ms, 1.202ms, 1713, 1713
1, 2, 2048, 2048, 243.510045ms, 1.077ms, 1713, 1713
0, 2, 2048, 2048, 324.684366ms, 1.169ms, 1713, 1713
0, 2, 2048, 2048, 243.126203ms, 1.117ms, 1713, 1713
1, 2, 2048, 2048, 324.209484ms, 1.233ms, 1713, 1713
0, 2, 2048, 1024, 245.603091ms, 3.138ms, 1191, 1197
1, 2, 2048, 1024, 333.098028ms, 3.976ms, 1197, 1191
1, 2, 2048, 1024, 243.813001ms, 1.027ms, 1191, 1191
0, 2, 2048, 1024, 323.998917ms, 1.105ms, 1191, 1191
0, 2, 2048, 1024, 243.415245ms, 950µs, 1191, 1191
1, 2, 2048, 1024, 323.7789ms, 1.184ms, 1191, 1191
1, 2, 2048, 1024, 243.392043ms, 1.052ms, 1191, 1191
0, 2, 2048, 1024, 324.25679ms, 1.223ms, 1191, 1191
0, 2, 2048, 1024, 243.516944ms, 969µs, 1191, 1191
1, 2, 2048, 1024, 324.761645ms, 1.227ms, 1191, 1191
0, 2, 4096, 4096, 245.354757ms, 3.437ms, 3270, 3276
1, 2, 4096, 4096, 333.541467ms, 3.46ms, 3276, 3270
1, 2, 4096, 4096, 242.962696ms, 1.02ms, 3270, 3270
0, 2, 4096, 4096, 323.613552ms, 1.462ms, 3270, 3270
0, 2, 4096, 4096, 243.736275ms, 1.17ms, 3270, 3270
1, 2, 4096, 4096, 324.799232ms, 1.392ms, 3270, 3270
1, 2, 4096, 4096, 244.008987ms, 1.268ms, 3270, 3270
